year,crop,rainfall,temperature,soil_type,irrigation,season,yield
2013,Mustard,38.1,11.3,Clay,0,Rabi,1.3
2011,Rice,101.2,34.5,Sandy,1,Kharif,3.51
2023,Maize,69.9,23.7,Sandy,0,Kharif,2.04
2016,Soybean,127.7,26.7,Loam,1,Kharif,2.97
2015,Rice,112.9,23.0,Clay,1,Kharif,3.49
2021,Mustard,50.9,19.2,Clay,1,Rabi,1.57
2022,Wheat,73.0,16.2,Loam,0,Rabi,2.98
2023,Soybean,145.5,28.2,Clay,0,Kharif,2.23
2016,Soybean,86.4,24.5,Sandy,0,Kharif,1.83
2010,Rice,159.8,33.6,Clay,0,Kharif,3.92
2021,Mustard,59.1,14.3,Sandy,1,Rabi,1.24
2020,Wheat,64.3,18.7,Clay,1,Rabi,3.78
2011,Maize,112.7,27.4,Sandy,0,Kharif,2.61
2012,Mustard,64.9,24.8,Sandy,1,Rabi,1.43
2020,Rice,194.1,29.1,Sandy,0,Kharif,2.71
2022,Rice,120.9,24.4,Clay,0,Kharif,3.37
2021,Rice,185.0,34.3,Loam,1,Kharif,4.09
2023,Wheat,66.5,21.2,Loam,0,Rabi,2.82
2016,Soybean,98.2,25.6,Loam,1,Kharif,2.94
2021,Rice,185.6,28.5,Sandy,0,Kharif,2.93
2019,Soybean,116.1,22.2,Loam,0,Kharif,1.74
2021,Maize,85.8,21.1,Clay,1,Kharif,3.31
2012,Maize,88.0,23.5,Clay,0,Kharif,2.71
2022,Wheat,72.8,23.9,Clay,0,Rabi,3.12
2020,Mustard,71.1,11.1,Clay,1,Rabi,1.35
2019,Wheat,77.0,23.9,Clay,1,Rabi,3.93
2015,Maize,105.7,23.9,Loam,1,Kharif,3.66
2015,Wheat,55.6,24.8,Clay,1,Rabi,3.47
2011,Soybean,132.8,22.9,Loam,0,Kharif,2.54
2019,Rice,181.7,30.6,Loam,0,Kharif,3.91
2019,Soybean,131.8,25.0,Loam,0,Kharif,2.36
2018,Wheat,90.6,23.6,Loam,0,Rabi,3.85
2019,Rice,119.9,32.0,Sandy,0,Kharif,2.4
2020,Mustard,55.7,15.2,Sandy,0,Rabi,1.39
2011,Mustard,65.2,22.8,Clay,0,Rabi,1.11
2010,Rice,101.5,26.8,Clay,0,Kharif,3.93
2012,Mustard,65.3,22.2,Clay,1,Rabi,1.45
2021,Soybean,85.5,21.3,Sandy,1,Kharif,2.17
2022,Rice,102.6,22.6,Sandy,1,Kharif,3.19
2016,Rice,103.7,31.7,Loam,0,Kharif,3.58
2019,Soybean,96.8,27.0,Loam,1,Kharif,2.05
2012,Maize,79.9,25.7,Loam,0,Kharif,2.79
2019,Maize,56.4,29.1,Loam,0,Kharif,3.28
2020,Maize,52.1,26.3,Clay,1,Kharif,3.02
2020,Soybean,97.6,25.1,Clay,1,Kharif,1.91
2016,Maize,84.9,28.1,Sandy,1,Kharif,2.43
2010,Wheat,91.6,24.7,Loam,0,Rabi,2.98
2014,Soybean,135.2,20.9,Sandy,1,Kharif,2.04
2010,Soybean,111.3,27.0,Sandy,0,Kharif,1.6
2011,Maize,84.3,22.3,Clay,0,Kharif,3.98
2015,Mustard,38.0,10.1,Clay,1,Rabi,1.34
2022,Mustard,64.2,22.2,Sandy,1,Rabi,1.29
2021,Soybean,139.8,29.0,Sandy,1,Kharif,2.65
2010,Mustard,59.7,23.4,Clay,0,Rabi,1.21
2013,Mustard,70.6,15.6,Sandy,1,Rabi,1.77
2022,Maize,72.8,23.8,Clay,1,Kharif,4.18
2014,Mustard,43.6,15.8,Sandy,1,Rabi,1.61
2013,Rice,128.1,22.6,Sandy,0,Kharif,3.16
2016,Soybean,106.8,26.7,Sandy,0,Kharif,2.27
2010,Wheat,69.5,24.0,Clay,0,Rabi,2.51
2019,Maize,58.5,25.0,Loam,1,Kharif,3.94
2022,Soybean,69.6,25.3,Loam,1,Kharif,2.47
2011,Mustard,66.4,13.6,Loam,0,Rabi,1.3
2023,Wheat,75.2,18.6,Sandy,0,Rabi,3.19
2016,Soybean,131.6,27.0,Sandy,1,Kharif,2.71
2017,Mustard,35.9,11.8,Clay,0,Rabi,1.19
2015,Mustard,52.1,18.2,Loam,1,Rabi,1.8
2016,Wheat,86.8,23.8,Clay,0,Rabi,3.3
2016,Maize,116.8,22.2,Sandy,1,Kharif,3.06
2020,Maize,55.2,28.2,Sandy,0,Kharif,3.18
2013,Wheat,58.9,17.8,Sandy,0,Rabi,2.59
2019,Mustard,73.9,17.8,Sandy,0,Rabi,1.37
